   3.0057570000000000e+08	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.0057569200000000e+08	   3.0057570000000000e+08	   1.0000000000000000e+00	
   3.0057278800000000e+08	   3.0057570000000000e+08	   1.0000000000000000e+00	
   3.0057547600000000e+08	   3.0057569200000000e+08	   2.0000000000000000e+00	
   3.0056258800000000e+08	   3.0057569200000000e+08	   2.0000000000000000e+00	
   3.0056112400000000e+08	   3.0057278800000000e+08	   2.0000000000000000e+00	
   2.9685780400000000e+08	   3.0057278800000000e+08	   2.0000000000000000e+00	
   3.0028063600000000e+08	   3.0057547600000000e+08	   3.0000000000000000e+00	
   3.0030014800000000e+08	   3.0056258800000000e+08	   3.0000000000000000e+00	
   2.6235132400000000e+08	   3.0056258800000000e+08	   3.0000000000000000e+00	
   3.0058591600000000e+08	   3.0056258800000000e+08	   3.0000000000000000e+00	
   3.0056767600000000e+08	   3.0056112400000000e+08	   3.0000000000000000e+00	
   3.0029868400000000e+08	   3.0056112400000000e+08	   3.0000000000000000e+00	
   2.6234986000000000e+08	   3.0056112400000000e+08	   3.0000000000000000e+00	
   2.6284558000000000e+08	   2.9685780400000000e+08	   3.0000000000000000e+00	
   4.2354604000000000e+07	   3.0028063600000000e+08	   4.0000000000000000e+00	
   3.0038561200000000e+08	   3.0028063600000000e+08	   4.0000000000000000e+00	
   3.0047705200000000e+08	   3.0030014800000000e+08	   4.0000000000000000e+00	
   4.2374116000000000e+07	   3.0030014800000000e+08	   4.0000000000000000e+00	
